Carimbo de data/hora,Declaro que fui devidamente esclarecido(a) e dou o meu consentimento para participar da pesquisa e para apresentação dos resultados.,"Com qual frequência você costuma ter contato com Inteligências Artificiais Generativas? Por exemplo, o ChatGPT da OpenAI, o Copilot do Github ou diversas Inteligências Artificiais Generativas de arte.","Você acredita que os impactos das Inteligências Artificiais Generativas nos meios virtuais configura-se, em sua maioria, como","Você acredita que as Inteligências Artificiais Generativas funcionam efetivamente? Por exemplo, você recebe conteúdos relacionados as suas pretensões ao realizar um pedido a uma  Inteligência Artificial Generativa.","Você acredita que as Inteligências Artificiais Generativas operam de acordo com uma regulamentação legal? Por exemplo, os dados coletados, durante o uso das Inteligências Artificiais Generativas, não ferem o seu direito a privacidade.","Você acredita que as Inteligências Artificiais Generativas têm o potencial de criar desafios adicionais para a detecção e a prevenção de crimes cibernéticos? Por exemplo, não é mais possível distinguir completamente imagens geradas por Inteligências Artificiais Generativas de imagens reais.","Você ouve falar frequentemente de crimes cibernéticos facilitados pelo uso de Inteligências Artificiais Generativas? Por exemplo, a falsificação de imagens ou geração de conteúdo malicioso utilizando  Inteligências Artificiais Generativas.","Você acredita que o aumento do uso de  Inteligências Artificiais Generativas está relacionado a um aumento nos crimes cibernéticos? Por exemplo, os índices de fraudes aumentaram devido em conjunto com as Inteligências Artificiais Generativas.","Você vê algum benefício potencial no uso de  Inteligências Artificiais Generativas para combater crimes cibernéticos? Por exemplo, como a automação de processos de resposta a incidentes.","Se possível, nos conte mais sobre as suas experiências com Inteligências Artificiais Generativas."
29/04/2024 17:02:34,"Sim, apresento o meu consentimento.",Pouca.,Positivo.,4,2,5,2,4,4,"Só conheço o ChatGPT e por uso de colegas, não costumo usar. Eles ficam extasiados com as respostas bem estruturas que a inteligência generativas proporcionam a certas perguntas de cunho pessoal e ético. Na revista Você S/A questionando e explicado o uso ético do CHATGP, e como é construídos o banco de dados do qual a IA constrói sua resposta as diversas indagações e atividades propostas pelo usuário. Deste assunto só lembro destes fatos."
29/04/2024 17:04:23,"Sim, apresento o meu consentimento.",Muita.,Neutro.,4,3,4,1,3,4,já trabalhei diretamente com o desenvolvimento de soluções que contemplavam IA Generativa
29/04/2024 17:04:54,"Sim, apresento o meu consentimento.",Razoável.,Neutro.,4,1,4,4,2,5,
29/04/2024 17:06:13,"Sim, apresento o meu consentimento.",Muita.,Positivo.,3,3,3,3,2,4,
29/04/2024 17:07:01,"Sim, apresento o meu consentimento.",Razoável.,Positivo.,4,3,2,4,3,4,
29/04/2024 17:19:59,"Sim, apresento o meu consentimento.",Pouca.,Negativo.,3,1,4,5,3,3,
29/04/2024 17:21:03,"Sim, apresento o meu consentimento.",Muita.,Positivo.,4,4,3,5,5,5,
29/04/2024 17:21:06,"Sim, apresento o meu consentimento.",Nenhuma.,Positivo.,3,3,3,3,4,3,Ate o presente momento...nada da web relacionado a IA
29/04/2024 17:30:48,"Sim, apresento o meu consentimento.",Nenhuma.,Neutro.,4,1,2,1,2,3,
29/04/2024 17:38:00,"Sim, apresento o meu consentimento.",Muita.,Positivo.,3,4,5,3,5,5,
29/04/2024 18:18:10,"Sim, apresento o meu consentimento.",Muita.,Positivo.,4,3,3,5,1,4,
29/04/2024 18:30:57,"Sim, apresento o meu consentimento.",Muita.,Positivo.,3,2,4,4,1,4,
29/04/2024 18:36:29,"Sim, apresento o meu consentimento.",Muita.,Positivo.,4,2,5,5,5,4,
29/04/2024 18:38:31,"Sim, apresento o meu consentimento.",Nenhuma.,Neutro.,3,3,3,3,3,3,
29/04/2024 18:40:48,"Sim, apresento o meu consentimento.",Nenhuma.,Positivo.,3,2,4,4,4,3,E muito compkexos distinguir o que e real ou virtual.
29/04/2024 18:58:26,"Sim, apresento o meu consentimento.",Razoável.,Neutro.,4,2,5,4,4,4,"No geral, minha experiência com as IAs Generativas vem sendo bastante positiva. Com elas, é possível automatizar processos e facilitar bastante o trabalho. No entanto, já recebi vários resultados irreais para perguntas feitas, o que pode se tornar muito preocupante, a depender do cenário. "
29/04/2024 18:59:32,"Sim, apresento o meu consentimento.",Razoável.,Positivo.,4,3,5,4,2,4,
29/04/2024 19:09:07,"Sim, apresento o meu consentimento.",Nenhuma.,Neutro.,3,5,1,4,1,5,
29/04/2024 19:16:11,"Sim, apresento o meu consentimento.",Pouca.,Positivo.,4,1,5,4,3,3,
29/04/2024 19:17:21,"Sim, apresento o meu consentimento.",Muita.,Positivo.,3,1,4,2,2,4,
29/04/2024 19:38:31,"Sim, apresento o meu consentimento.",Muita.,Neutro.,4,3,5,5,4,4,
29/04/2024 20:04:54,"Sim, apresento o meu consentimento.",Muita.,Positivo.,4,1,5,5,4,5,
29/04/2024 20:27:37,"Sim, apresento o meu consentimento.",Muita.,Positivo.,4,1,5,5,5,5,
29/04/2024 20:53:06,"Sim, apresento o meu consentimento.",Razoável.,Negativo.,2,1,4,5,5,4,"Faço ciência da computação, e o que percebo bastante é a dependência das pessoas em inteligência artificial generativa, onde as pessoas trocam pensar e estudar por jogar no chatGPT pra ele responder simplificado, isso limita a capacidade de interpretação e pensamento lógico das pessoas "
29/04/2024 21:28:23,"Sim, apresento o meu consentimento.",Razoável.,Positivo.,5,4,4,2,3,5,
29/04/2024 22:03:40,"Sim, apresento o meu consentimento.",Pouca.,Neutro.,3,3,4,5,5,4,
29/04/2024 22:21:57,"Sim, apresento o meu consentimento.",Muita.,Negativo.,4,2,5,5,4,4,
29/04/2024 22:38:33,"Sim, apresento o meu consentimento.",Pouca.,Negativo.,3,2,3,5,5,3,"Nunca tive uma experiência negativa diretamente, mas nos últimos tempos tenho visto muito conteúdo falso gerado por IAs com o intuito de agredir a imagem de alguém, como por exemplo, as imagens sexualmente explícitas que foram geradas da cantora Taylor Swift."
29/04/2024 22:50:38,"Sim, apresento o meu consentimento.",Muita.,Positivo.,4,2,3,3,4,4,
29/04/2024 23:00:00,"Sim, apresento o meu consentimento.",Pouca.,Negativo.,3,1,4,5,5,4,
29/04/2024 23:10:18,"Sim, apresento o meu consentimento.",Pouca.,Positivo.,4,1,5,5,4,5,
29/04/2024 23:24:44,"Sim, apresento o meu consentimento.",Muita.,Negativo.,3,1,4,5,3,4,
30/04/2024 00:02:14,"Sim, apresento o meu consentimento.",Razoável.,Positivo.,3,2,3,4,2,5,"Usei o chat gpt e existem muitas informações inventadas de que tive acesso. Por exemplo, jurisprudências que não existem. Dessa forma, caso eu utilizasse em alguma petição, não estaria sendo uma boa prática jurídica. Além disso, a versão grátis é desatualizada, necessitando de extensões para atualizar ou pagar em dólar para utilizar em sua completude."
30/04/2024 00:36:34,"Sim, apresento o meu consentimento.",Pouca.,Neutro.,4,2,4,2,3,5,
30/04/2024 07:44:28,"Sim, apresento o meu consentimento.",Razoável.,Positivo.,4,3,4,5,3,5,
30/04/2024 08:12:08,"Sim, apresento o meu consentimento.",Muita.,Positivo.,4,2,3,3,3,3,
30/04/2024 08:53:39,"Sim, apresento o meu consentimento.",Razoável.,Positivo.,4,1,5,5,2,5,
30/04/2024 09:39:47,"Sim, apresento o meu consentimento.",Pouca.,Neutro.,4,2,5,4,4,4,
30/04/2024 10:14:46,"Sim, apresento o meu consentimento.",Pouca.,Neutro.,4,1,2,3,5,5,
30/04/2024 10:23:08,"Sim, apresento o meu consentimento.",Nenhuma.,Negativo.,5,3,5,5,3,3,
30/04/2024 10:30:05,"Sim, apresento o meu consentimento.",Razoável.,Positivo.,2,1,4,4,2,4,
30/04/2024 10:38:53,"Sim, apresento o meu consentimento.",Nenhuma.,Neutro.,5,1,5,3,4,4,
30/04/2024 11:14:20,"Sim, apresento o meu consentimento.",Razoável.,Neutro.,4,3,5,4,4,3,
30/04/2024 12:51:43,"Sim, apresento o meu consentimento.",Pouca.,Neutro.,2,2,1,4,3,3,
30/04/2024 14:18:10,"Sim, apresento o meu consentimento.",Razoável.,Neutro.,3,2,4,2,3,3,
30/04/2024 16:58:48,"Sim, apresento o meu consentimento.",Pouca.,Positivo.,4,3,5,3,3,2,
